Transaction_ID,Region,Country,Product_Line,Revenue,Marketing_Expense ,Profit,Quarter,Date,Channel,Age,,,,,
634272,Europe,France,Services,2016048,121949,40%,Q1,29-11-2023,Online,31,,,,,
538403,Africa,Brazil,iPhone,1070550,229901,30%,Q1,01-07-2021,E-Commerce,22,,,,,
261920,Africa,France,iPad,8337453,284308,30%,Q2,22-11-2023,E-Commerce,25,,,,,
898579,Africa,France,Services,827123,301858,20%,Q3,23-01-2022,Apple Store,36,,,,,
666299,Europe,Japan,iPhone,4149061,60560,25%,Q4,12-06-2023,Apple Store,25,,,,,
682166,Asia,UK,Wearables,9158322,418497,40%,Q2,21-06-2023,E-Commerce,19,,,,,
969541,Asia,Brazil,iPhone,5983879,187967,30%,Q2,25-09-2024,Offline,20,,,,,
772762,Africa,India,iPhone,5839253,274902,20%,Q1,12-03-2022,Offline,22,,,,,
911395,Europe,France,Services,6406484,283160,20%,Q4,27-09-2024,Online,28,,,,,
609191,North America,France,MacBook,3882968,301222,30%,Q3,11-07-2024,Retail Partner,50,,,,,
885015,Oceania,Japan,Services,7347466,452751,20%,Q4,24-11-2022,Apple Store,48,,,,,
332846,Europe,USA,Services,6627454,373859,35%,Q4,21-01-2025,Apple Store,29,,,,,
677031,Asia,France,MacBook,1538738,118861,35%,Q3,26-03-2022,Offline,29,,,,,
782530,Asia,France,Services,610357,499532,40%,Q1,01-10-2022,Apple Store,26,,,,,
658997,South America,China,Wearables,1330152,30055,40%,Q3,27-09-2024,Retail Partner,27,,,,,
419075,North America,Canada,iPhone,9778939,267857,35%,Q1,29-08-2020,E-Commerce,26,,,,,
783132,Africa,Germany,Wearables,6556325,438750,30%,Q2,02-08-2022,E-Commerce,30,,,,,
543151,Oceania,UK,Wearables,324891,123788,40%,Q1,04-10-2023,Online,24,,,,,
519579,North America,Japan,MacBook,9522264,131795,35%,Q4,18-05-2021,Apple Store,47,,,,,
428894,Asia,Germany,Services,5377465,265103,40%,Q3,30-04-2021,Offline,26,,,,,
826490,Africa,France,iPhone,8305187,139745,40%,Q1,18-01-2022,Apple Store,24,,,,,
219139,Africa,France,MacBook,3970385,142865,30%,Q2,20-03-2022,Apple Store,19,,,,,
701899,Africa,China,MacBook,5183966,87299,20%,Q4,11-05-2021,Retail Partner,22,,,,,
364278,North America,Australia,Wearables,7837775,479339,20%,Q3,09-02-2024,E-Commerce,30,,,,,
169891,North America,Brazil,iPhone,1115547,386350,30%,Q1,07-07-2023,Retail Partner,31,,,,,
421070,Oceania,USA,MacBook,2391116,333825,20%,Q4,02-05-2024,Online,19,,,,,
993484,North America,Japan,iPad,7204421,413574,20%,Q2,16-12-2021,Retail Partner,35,,,,,
959594,North America,Brazil,MacBook,3041180,491822,25%,Q4,06-08-2021,E-Commerce,34,,,,,
329272,Africa,Brazil,Wearables,3335121,231444,20%,Q4,17-04-2022,E-Commerce,27,,,,,
947965,South America,Germany,iPad,3770207,149871,40%,Q1,20-09-2021,Offline,37,,,,,
714006,Asia,France,Wearables,2694451,221367,30%,Q4,22-03-2021,E-Commerce,26,,,,,
217913,North America,India,iPad,7704886,59132,40%,Q2,03-03-2024,Offline,34,,,,,
866737,South America,France,iPhone,8749715,399782,30%,Q1,21-03-2020,Online,26,,,,,
850042,Europe,UK,MacBook,4428813,31782,20%,Q4,10-07-2024,E-Commerce,21,,,,,
335755,North America,Brazil,MacBook,6455627,182309,30%,Q3,13-12-2020,Online,22,,,,,
